id,name,phone,address,businessHours,services,latitude,longitude,isActive,createdAt,updatedAt
30001,金門店,08-2372280,"環島西路一段65號, 金城鎮, 金門縣",,,24.42882,118.3217,1,2025-11-24 13:32:54,2025-11-24 13:32:54
30002,木新店,02-29398555,"木新路3段212號, 文山區, 台北市",,,24.98156,121.5597,1,2025-11-24 13:32:54,2025-11-24 13:32:54
30003,汐止店,02-86926806,"大同路二段 129號, 汐止區, 新北市",,,25.06423,121.6514,1,2025-11-24 13:32:54,2025-11-24 13:32:54
30004,忠孝店,02-87736308,"忠孝東路四段212號B1, 大安區, 台北市",,,25.04111,121.5528,1,2025-11-24 13:32:54,2025-11-24 13:32:54
30005,內湖旗艦店,02-27955270,"堤頂大道一段331號, 內湖區, 台北市",,,25.0566,121.5744,1,2025-11-24 13:32:54,2025-11-24 13:32:54
30006,信義店,02-27202289,"信義路4段375號, 信義區, 台北市",,,25.03345,121.5442,1,2025-11-24 13:32:55,2025-11-24 13:32:55
30007,文德店,02-87518699,"文德路212號, 內湖區, 台北市",,,25.07857,121.5842,1,2025-11-24 13:32:55,2025-11-24 13:32:55
30008,興隆店,02-29330445,"興隆路二段252號B1, 文山區, 台北市",,,25.00066,121.5542,1,2025-11-24 13:32:55,2025-11-24 13:32:55
30009,吉祥店,02-25280156,"南京東路五段40號2F, 松山區, 台北市",,,25.05184,121.5574,1,2025-11-24 13:32:55,2025-11-24 13:32:55
30010,通化店,02-27328090,"通化街198號1F, 大安區, 台北市",,,25.03223,121.5544,1,2025-11-24 13:32:56,2025-11-24 13:32:56
30011,金門山外店,08-2337539,"中正路74.76號1-2F, 金湖鎮, 金門縣",,,24.4414421,118.4149201,1,2025-11-24 13:32:56,2025-11-24 13:32:56
30012,永春店,02-27281599,"大道路16號、16號地下1樓, 信義區, 台北市",,,25.04218,121.5816,1,2025-11-24 13:32:56,2025-11-24 13:32:56
30013,樂業店,02-27383608,"樂業街127號B1.1F, 大安區, 台北市",,,25.02019,121.553,1,2025-11-24 13:32:56,2025-11-24 13:32:56
30014,汐止中興店,02-26926696,"中興路168號地下1樓, 汐止區, 新北市",,,25.06246,121.6342,1,2025-11-24 13:32:56,2025-11-24 13:32:56
30015,台北西湖店,02-27993156,"內湖路一段323巷11號1F.B1, 內湖區, 台北市",,,25.08342,121.5681,1,2025-11-24 13:32:57,2025-11-24 13:32:57
30016,大直店,02-25321059,"北安路633號1F、B1, 中山區, 台北市",,,25.08354,121.549,1,2025-11-24 13:32:57,2025-11-24 13:32:57
30017,新民生店,02-27457288,"民生東路五段119-2號1樓、B1, 松山區, 台北市",,,25.05892,121.5611,1,2025-11-24 13:32:57,2025-11-24 13:32:57
30018,WanDau內湖旗,02-77049777,"堤頂大道一段331號, 內湖區, 台北市",,,25.0566,121.5744,1,2025-11-24 13:32:57,2025-11-24 13:32:57
30019,忠孝永春店,02-27600688,"忠孝東路五段297-1號1 2F, 信義區, 台北市",,,25.04114,121.5732,1,2025-11-24 13:32:58,2025-11-24 13:32:58
30020,南港店,02-26518559,"南港路一段173號1樓, 南港區, 台北市",,,25.05512,121.613,1,2025-11-24 13:32:58,2025-11-24 13:32:58
30021,新景美店,02-29300267,"景後街97號, 文山區, 台北市",,,24.99034,121.5419,1,2025-11-24 13:32:58,2025-11-24 13:32:58
30022,新東湖店,02-77049694,"東湖路96號, 內湖區, 台北市",,,25.06856,121.615,1,2025-11-24 13:32:58,2025-11-24 13:32:58
30023,和平旗艦店,02-23278336,"和平西路一段13號, 中正區, 台北市",,,25.02627,121.5189,1,2025-11-24 13:32:58,2025-11-24 13:32:58
30024,石牌店,02-28220221,"石牌路二段99巷1號, 北投區, 台北市",,,25.11769,121.5165,1,2025-11-24 13:32:59,2025-11-24 13:32:59
